vehicle_id,vehicle_type,make_id,model_year,vehicle_desc,color,year_stolen,vehicle_age,date_stolen,location_id,day_stolen
36,Trailer,623,2018,HOMEMADE,Grey,2022,4,17-02-2022,103,Thursday
37,Trailer,623,2018,COMPASS-KH63,Silver,2022,4,23-02-2022,102,Wednesday
38,Trailer,623,2018,TRAYLA,Silver,2022,4,17-01-2022,109,Monday
39,Trailer - Heavy,623,2021,PRESCOTT,Silver,2021,0,03-12-2021,104,Friday
40,Trailer,549,2021,TRAILER,Black,2021,0,27-12-2021,109,Monday
41,Trailer,623,2021,TRAYLA,Silver,2022,1,02-03-2022,106,Wednesday
42,Trailer,623,2002,HOMEMADE,Silver,2022,20,02-01-2022,102,Sunday
43,Boat Trailer,623,2018,BST58OR,Silver,2022,4,24-02-2022,102,Thursday
44,Trailer,549,2018,TRAILER,Silver,2022,4,28-02-2022,114,Monday
45,Trailer,623,2014,DOMESTIC TRAILER,Silver,2021,7,19-10-2021,104,Tuesday
46,Moped,538,2005,TGB PALIO,Silver,2021,16,09-11-2021,106,Tuesday
47,Trailer - Heavy,623,2004,TANDEM,Grey,2021,17,05-11-2021,102,Friday
48,Trailer,527,2021,TRAILER,Silver,2022,1,02-03-2022,102,Wednesday
49,Trailer,623,2021,DOMESTIC,Grey,2021,0,22-10-2021,102,Friday
50,Trailer,623,2021,M J TANDEM AXLE,Silver,2022,1,20-01-2022,114,Thursday
51,Trailer,514,2021,8X4 CAGE,Silver,2021,0,07-12-2021,102,Tuesday
52,Caravan,537,2003,RIVIERA 482,White,2021,18,13-10-2021,114,Wednesday
53,Roadbike,636,1995,XTZ660BG,Blue,2022,27,21-03-2022,111,Monday
54,Roadbike,561,1999,NINJA,Green,2022,23,15-02-2022,104,Tuesday
55,Trailer - Heavy,623,2021,PRESCOTT,Silver,2022,1,06-02-2022,104,Sunday
56,Trailer - Heavy,623,2000,BRIFORD,Yellow,2022,22,05-03-2022,102,Saturday
57,Boat Trailer,623,2021,ASD JETSKI,Silver,2022,1,21-02-2022,102,Monday
58,Trailer,623,1997,BRIFORD 8X4-6COVERED,Yellow,2021,24,05-11-2021,105,Friday
59,Trailer,623,2021,HOMEBUILT,Black,2022,1,06-03-2022,102,Sunday
60,Trailer,623,1983,OLEARY,Red,2022,39,02-01-2022,108,Sunday
61,Trailer,623,2021,TRAILERWORLD 9X5 HSB,Silver,2022,1,26-03-2022,102,Saturday
62,Trailer,623,2018,SINGLE AXLE,Silver,2021,3,10-10-2021,102,Sunday
63,Moped,550,2008,TODAY 50,Yellow,2021,13,19-12-2021,104,Sunday
64,Trailer,623,2018,IFOR WILLIAMS,Black,2022,4,06-01-2022,104,Thursday
65,Trailer,623,2014,PRESCOTT,Silver,2022,8,24-03-2022,104,Thursday
66,Boat Trailer,623,2014,SPORTLINE,Silver,2021,7,21-10-2021,105,Thursday
67,Hatchback,540,2006,FOCUS,Blue,2021,15,13-11-2021,105,Saturday
68,Trailer - Heavy,623,2014,TILTING FLAT DECK,Silver,2021,7,08-11-2021,105,Monday
69,Trailer,623,2014,PMTRAILER,Silver,2022,8,24-01-2022,114,Monday
70,Boat Trailer,551,2014,BOAT TRAILER,Silver,2022,8,04-04-2022,103,Monday
71,Trailer,623,2014,TRAYLA,Silver,2022,8,24-02-2022,107,Thursday
72,Trailer,623,2014,ELITE,Silver,2022,8,04-02-2022,102,Friday
73,Trailer,623,2014,ELITE 7X4,Silver,2022,8,14-01-2022,114,Friday
74,Caravan,591,1969,PIONEER,White,2021,52,27-11-2021,104,Saturday
75,Saloon,512,2007,323I,White,2022,15,23-03-2022,102,Wednesday
76,Trailer,623,2015,7 X 4 STD,Silver,2022,7,05-01-2022,102,Wednesday
77,Trailer,623,2011,HOMEBUILT,Grey,2022,11,02-04-2022,102,Saturday
78,Boat Trailer,623,2015,ENDURO,Silver,2022,7,06-01-2022,104,Thursday
79,Trailer,623,2015,TRAYLA,Silver,2022,7,28-02-2022,106,Monday
80,Trailer,623,2015,ELITE 8X5,Silver,2022,7,14-01-2022,114,Friday
81,Trailer,623,2015,COMPASS D105,Silver,2021,6,18-10-2021,102,Monday
82,Trailer,623,2015,DOMESTIC TRAILER,Silver,2022,7,16-03-2022,103,Wednesday
83,Trailer - Heavy,623,1998,TANK,White,2022,24,18-01-2022,104,Tuesday
84,Stationwagon,507,2015,ALLROAD,Silver,2022,7,03-04-2022,109,Sunday
85,Trailer,623,2015,ELITE 8X4,Silver,2022,7,04-01-2022,114,Tuesday
86,Roadbike,629,2001,PIAGGIO,Silver,2021,20,06-12-2021,102,Monday
87,Trailer,623,2015,HELMACK 8X5,Silver,2022,7,19-01-2022,114,Wednesday
88,Trailer,623,1984,LOCAL,Yellow,2022,38,21-03-2022,102,Monday
89,Trailer,623,2015,SINGLE AXLE,Silver,2022,7,01-03-2022,103,Tuesday
90,Boat Trailer,623,2008,BOAT,Silver,2022,14,22-02-2022,104,Tuesday
91,Trailer,623,1990,HOMEBUILT,Blue,2022,32,20-01-2022,104,Thursday
92,Trailer,623,2000,PRESCOTT,Silver,2022,22,08-03-2022,104,Tuesday
93,Trailer,549,1996,TRAILER,Silver,2022,26,24-03-2022,102,Thursday
94,Trailer,623,2018,COMPASS-C85,Silver,2022,4,18-03-2022,102,Friday
95,Trailer,616,2018,DOMESTIC TRAILER,Silver,2021,3,28-12-2021,102,Tuesday
96,Trailer,527,1985,TANDEM,Silver,2022,37,13-01-2022,102,Thursday
97,Roadbike,550,2005,VT,Red,2022,17,19-03-2022,102,Saturday
98,Roadbike,550,2000,CBR,Blue,2022,22,31-01-2022,114,Monday
99,Trailer,623,2022,HOMEBUILT,Black,2022,0,14-02-2022,102,Monday
100,Boat Trailer,623,2021,JETSKI ACTION LAB,Grey,2021,0,30-12-2021,103,Thursday
101,Trailer,623,2000,HOMEBUILT,Silver,2022,22,29-01-2022,106,Saturday
102,Trailer,549,2022,TRAILER,Black,2022,0,12-03-2022,104,Saturday
103,Trailer,623,1998,MARTIN ENGINEERING,White,2022,24,28-03-2022,102,Monday
104,Trailer,623,2018,TUFF,Silver,2021,3,22-11-2021,104,Monday
105,Trailer,623,1977,LOCAL,Brown,2021,44,03-12-2021,104,Friday
106,Trailer - Heavy,623,2018,8X4 TRAYLA,Silver,2022,4,01-02-2022,106,Tuesday
107,Trailer,623,1980,HOMEMADE,Blue,2022,42,20-03-2022,111,Sunday
108,Trailer - Heavy,623,2018,NYMIC,White,2022,4,03-04-2022,114,Sunday
109,Trailer,623,2022,TRAILER,Silver,2022,0,09-02-2022,102,Wednesday
110,Trailer,623,2019,TANDEM,Grey,2022,3,23-02-2022,109,Wednesday
111,Trailer,623,2022,COMPASS-D116K,Silver,2022,0,15-03-2022,106,Tuesday
112,Roadbike,545,2004,FXSTDI,Red,2022,18,16-01-2022,102,Sunday
113,Trailer,623,1967,LOCAL,Grey,2021,54,19-10-2021,114,Tuesday
114,Caravan,519,2006,SWIFT CHARISMA 230,White,2022,16,27-02-2022,102,Sunday
115,Trailer,623,2018,TANK,Silver,2022,4,29-03-2022,114,Tuesday
116,Tractor,575,2007,FERGUSSON,Red,2022,15,23-01-2022,103,Sunday
117,Trailer,623,2022,BST85,Silver,2022,0,15-03-2022,109,Tuesday
118,Roadbike,611,2003,LS650P,Black,2021,18,03-12-2021,101,Friday
119,Boat Trailer,626,2022,JET SKI,Black,2022,0,19-03-2022,102,Saturday
120,Trailer,623,2022,VULCAN,Silver,2022,0,04-03-2022,102,Friday
121,Boat Trailer,549,1989,EZ LOADER STABI CRAF,Grey,2021,32,12-10-2021,114,Tuesday
122,Boat Trailer,623,2017,MCLAY,Silver,2022,5,19-03-2022,105,Saturday
123,Trailer,623,2019,ENSOL TANKER,Silver,2022,3,28-02-2022,108,Monday
124,Roadbike,561,2008,EX,Red,2022,14,02-04-2022,102,Saturday
125,Moped,585,2008,HYOSUNG SB49M,Red,2022,14,29-01-2022,102,Saturday
126,Trailer,623,1996,BRIFORD,Grey,2022,26,13-03-2022,114,Sunday
127,Boat Trailer,623,2000,REID,Silver,2022,22,03-02-2022,102,Thursday
128,Boat Trailer,549,1994,15X7,White,2022,28,01-01-2022,114,Saturday
129,Trailer,623,1998,KEA,Grey,2021,23,16-11-2021,111,Tuesday
130,Trailer,623,2019,ROADCHIEF,Grey,2022,3,20-01-2022,101,Thursday
131,Roadbike,565,2002,EXC,Orange,2022,20,13-02-2022,101,Sunday
132,Trailer,623,2019,JOBMATE,Silver,2022,3,13-03-2022,104,Sunday
133,Trailer,623,2022,ENSOL TANKER,Silver,2022,0,01-04-2022,108,Friday
134,Trailer,623,2019,BRAKED TANDEM,Silver,2021,2,17-12-2021,104,Friday
135,Trailer,623,1980,HARENG,Grey,2021,41,31-12-2021,103,Friday
136,Trailer,623,2019,HOMEBUILT,Silver,2022,3,13-03-2022,115,Sunday
137,Trailer,616,2019,DOMESTIC TRAILER,Silver,2021,2,29-10-2021,102,Friday
138,Trailer,623,1962,HOMEMADE,Green,2022,60,16-02-2022,114,Wednesday
139,Trailer,623,1997,SPACEE 2000,White,2021,24,16-11-2021,107,Tuesday
140,Trailer,514,2018,8X4 TANDEM TIPPER,Silver,2022,4,18-03-2022,114,Friday
141,Trailer,538,2019,BRENT SMITH TRAILERS,Silver,2021,2,30-12-2021,109,Thursday
142,Trailer,623,2019,TASMAN8X5TB,Silver,2021,2,10-10-2021,111,Sunday
143,Boat Trailer,623,2019,MAKZ,Silver,2021,2,14-12-2021,109,Tuesday
144,Trailer,595,2019,ENCLOSED TRAILER,Silver,2021,2,19-10-2021,102,Tuesday
145,Trailer,623,2019,ELITE 8X4,Silver,2022,3,28-02-2022,114,Monday
146,Trailer - Heavy,623,2019,TRANSPORTER,Silver,2021,2,27-12-2021,105,Monday
147,Trailer,623,2019,DOMESTIC,Grey,2022,3,09-03-2022,102,Wednesday
148,Trailer,538,2015,DOMESTIC TRAILER,Silver,2022,7,21-03-2022,101,Monday
149,Trailer - Heavy,514,2015,TRAILER 8X4,Silver,2021,6,08-12-2021,102,Wednesday
150,Caravan,519,2008,XPLORE 452,White,2021,13,26-12-2021,104,Sunday
151,Trailer,595,2015,BRAKED TANDEM,Silver,2022,7,18-02-2022,103,Friday
152,Trailer,623,2015,HOBBS,Silver,2021,6,12-11-2021,105,Friday
153,Trailer,623,2015,WILPRO,Silver,2021,6,22-11-2021,104,Monday
154,Trailer - Heavy,514,2015,TRAILER,Silver,2022,7,24-01-2022,102,Monday
155,Trailer - Heavy,514,2015,TRAILER,Silver,2022,7,08-03-2022,102,Tuesday
156,Trailer - Heavy,514,2015,OTHER COMMERCIAL TRA,Silver,2022,7,06-01-2022,114,Thursday
157,Trailer,623,2015,SINGLE AXLE 7X4,Silver,2022,7,19-02-2022,114,Saturday
158,Caravan,606,2007,ALPINE  4T2A,White,2022,15,29-01-2022,109,Saturday
159,Trailer,623,2015,FACTORY BUILT,Silver,2022,7,10-01-2022,106,Monday
160,Saloon,587,1989,SKYLINE,Blue,2022,33,03-02-2022,109,Thursday
161,Boat Trailer,623,2015,YAMAHA VXR,Silver,2021,6,10-11-2021,114,Wednesday
162,Trailer - Heavy,514,2015,TRAILER,Silver,2021,6,12-10-2021,109,Tuesday
163,Trailer,623,2015,ROADLINE,Silver,2021,6,30-10-2021,101,Saturday
164,Trailer,623,2015,TRAYLA,Silver,2022,7,13-01-2022,109,Thursday
165,Trailer - Heavy,514,2015,TRAILER,Silver,2021,6,31-12-2021,103,Friday
166,Trailer - Heavy,514,2015,TRAILER,Silver,2021,6,08-12-2021,102,Wednesday
167,Caravan,525,1972,HALF VISTA,Red,2022,50,16-03-2022,104,Wednesday
168,Trailer - Heavy,623,2015,CANTERBURY FABRICAT,White,2022,7,08-03-2022,107,Tuesday
169,Trailer,623,2015,4.5M FLATDECK,Silver,2022,7,28-01-2022,103,Friday
170,Trail Bike,565,2020,SFX,Orange,2021,1,08-11-2021,114,Monday
171,Trailer,623,2016,ELITE 8X4,Silver,2022,6,30-03-2022,114,Wednesday
172,Trailer,623,2019,ROADCHIEF 8X5,Silver,2022,3,24-03-2022,115,Thursday
173,Trailer,623,1998,LOCAL,Silver,2021,23,25-12-2021,107,Saturday
174,Boat Trailer,623,2012,BOAT,Silver,2021,9,22-12-2021,102,Wednesday
175,Trailer - Heavy,623,2019,MM INDUSTRIES,Silver,2021,2,11-10-2021,102,Monday
176,Trailer,562,2019,KC85E,Silver,2022,3,01-04-2022,104,Friday
177,Trailer,562,2019,KC106AB,Silver,2022,3,29-03-2022,103,Tuesday
178,Boat Trailer,623,2019,BOAT TRAILER,Silver,2022,3,12-02-2022,102,Saturday
179,Trailer - Heavy,562,2019,CAGE,Silver,2021,2,24-11-2021,103,Wednesday
180,Moped,629,1963,SPORTIQUE,Cream,2021,58,07-12-2021,115,Tuesday
181,Trailer,514,2019,5X4,Silver,2021,2,02-11-2021,114,Tuesday
182,Trailer,623,2019,CTDIG,Silver,2021,2,22-11-2021,104,Monday
183,Roadbike,611,2005,DR-Z400,Yellow,2021,16,12-10-2021,114,Tuesday
184,Trailer,599,2019,DOMESTIC TRAILER,Grey,2021,2,28-10-2021,101,Thursday
185,Trailer,549,1990,TRAILER,Blue,2022,32,19-03-2022,109,Saturday
186,Trailer,623,1981,HOMEMADE,Grey,2022,41,16-02-2022,102,Wednesday
187,Trailer,623,2019,TRAYLA,Silver,2022,3,04-02-2022,106,Friday
188,Boat Trailer,513,2019,357J,Silver,2021,2,16-12-2021,102,Thursday
189,Trailer,623,2019,SMASH PALACE,Silver,2022,3,07-03-2022,114,Monday
190,Trailer,623,1996,BRIFORD 5X4 SHUTTLE,White,2021,25,31-10-2021,114,Sunday
191,Trailer,623,2019,DIAMOND,Silver,2022,3,19-01-2022,106,Wednesday
192,Trailer,562,2019,K844XA,Silver,2022,3,02-04-2022,103,Saturday
193,Trailer,623,2019,TUFF,Silver,2021,2,01-11-2021,102,Monday
194,Caravan,623,2006,DMW,White,2021,15,07-12-2021,102,Tuesday
195,Trailer - Heavy,514,2015,TRAILER,Silver,2022,7,08-03-2022,102,Tuesday
196,Trailer,623,1979,HOMEMADE,Green,2021,42,02-12-2021,114,Thursday
197,Trailer - Heavy,623,2019,CABLE DRUM,Silver,2022,3,13-03-2022,111,Sunday
198,Trailer,623,1999,LOCAL,Silver,2022,23,02-02-2022,102,Wednesday
199,Trailer,623,1998,KING,Silver,2022,24,19-02-2022,106,Saturday
200,Trailer,623,2001,HOME BUILT,Grey,2021,20,14-10-2021,115,Thursday
201,Trailer - Heavy,623,2019,IFOR WILLIAMS,Silver,2022,3,07-01-2022,101,Friday
202,Trailer,623,1977,LOCAL,Orange,2021,44,25-10-2021,104,Monday
203,Roadbike,625,2004,SPEEDTRIPLE,Red,2022,18,10-02-2022,108,Thursday
204,Trailer,623,2019,DOLY,Grey,2021,2,29-11-2021,106,Monday
205,Trailer,623,2019,SINGLE AXLE,Grey,2021,2,15-12-2021,114,Wednesday
206,Roadbike,611,2005,GN250,Black,2022,17,02-04-2022,102,Saturday
207,Roadbike,550,1985,XL250,White,2022,37,27-03-2022,109,Sunday
208,Trailer,623,2019,ROOFLINE,Grey,2022,3,14-02-2022,111,Monday
209,Trailer,623,2019,T D ENGINEERING,Silver,2022,3,17-03-2022,107,Thursday
210,Trailer,623,2015,TRADETESTED 7 X 4,Silver,2021,6,12-10-2021,102,Tuesday
211,Trailer,623,2015,VULCAN,Silver,2021,6,01-11-2021,102,Monday
212,Trailer,623,2016,HOME MADE,Grey,2022,6,01-03-2022,109,Tuesday
213,Caravan,504,1976,CARAVAN,White,2021,45,01-12-2021,102,Wednesday
214,Trailer - Heavy,597,2015,TRAILER,Silver,2021,6,11-10-2021,102,Monday
215,Trailer,572,2015,DOMESTIC TRAILER,Silver,2022,7,03-04-2022,115,Sunday
216,Trailer,514,2008,TRAILER 8X4,Silver,2022,14,10-02-2022,102,Thursday
217,Trailer - Heavy,623,1985,SLOAN,Blue,2022,37,22-02-2022,103,Tuesday
218,Trailer,616,2015,7X4,Silver,2021,6,23-12-2021,102,Thursday
219,Trailer,623,2002,HOMEBUILT,Grey,2022,20,31-01-2022,114,Monday
220,Trailer,623,2016,DOMESTIC,Silver,2021,5,22-11-2021,101,Monday
221,Boat Trailer,623,2000,JETSKI,Black,2021,21,25-12-2021,103,Saturday
222,Trailer,623,2016,TANDEM,Silver,2022,6,04-04-2022,106,Monday
223,Trailer - Heavy,623,2016,FURN,White,2022,6,17-01-2022,104,Monday
224,Trailer,572,2016,3X2 PLATFORM,Silver,2022,6,27-02-2022,115,Sunday
225,Trailer,623,2019,HOMEBUILT,Silver,2022,3,26-01-2022,108,Wednesday
226,Trailer,623,2019,GORILLA,Silver,2022,3,25-01-2022,114,Tuesday
227,Roadbike,611,2007,UZ,Grey,2021,14,18-12-2021,102,Saturday
228,Trailer,549,1990,TRAILER,Grey,2022,32,10-02-2022,114,Thursday
229,Caravan,525,1979,DIPLOMAT,Blue,2022,43,28-01-2022,108,Friday
230,Trailer - Heavy,623,1976,LOCAL,Silver,2022,46,22-01-2022,108,Saturday
231,Trailer,549,1987,TRAILER,Red,2022,35,05-03-2022,115,Saturday
232,Trailer,616,2019,DOMESTIC TRAILER,Silver,2022,3,03-03-2022,102,Thursday
233,Trailer,623,2019,HOMEMADE,Silver,2021,2,06-12-2021,108,Monday
234,Moped,594,1998,MOTORCYCLE,Blue,2021,23,06-11-2021,102,Saturday
235,Roadbike,611,2003,GSX250,Silver,2021,18,30-12-2021,104,Thursday
236,Roadbike,611,2009,VL800,Black,2022,13,31-03-2022,102,Thursday
237,Trailer,623,2002,DOMESTIC TRAILER,Grey,2021,19,29-12-2021,102,Wednesday
238,Trailer,514,2019,8X5 TANDEM,Silver,2022,3,09-01-2022,114,Sunday
239,Trailer,623,2016,KEA,Silver,2021,5,14-10-2021,102,Thursday
240,Trailer,623,2019,TANDEM,Silver,2022,3,16-02-2022,114,Wednesday
241,Roadbike,611,2007,VL800,Black,2022,15,17-01-2022,102,Monday
242,Trailer,549,1977,OLEARY 1 AXLE,Silver,2022,45,02-03-2022,107,Wednesday
243,Trailer,623,2001,DOMESTIC TRAILER,Silver,2022,21,13-01-2022,108,Thursday
244,Boat Trailer,623,2019,HOMEBUILT,Silver,2021,2,15-12-2021,102,Wednesday
245,Boat Trailer,623,2019,BOAT,Silver,2022,3,31-01-2022,101,Monday
246,Trailer,623,2019,HOMEBUILT,Black,2021,2,17-11-2021,106,Wednesday
247,Trailer,516,2019,8X5 TANDEM TRAILER,Silver,2021,2,18-10-2021,114,Monday
248,Boat Trailer,623,2019,BOAT,Silver,2022,3,04-03-2022,102,Friday
249,Trailer,623,2019,M J SINGLE AXLE,Silver,2022,3,24-01-2022,114,Monday
250,Trailer,549,2019,DOMESTIC TRAILER,Black,2022,3,06-01-2022,102,Thursday
251,Trailer,623,1940,HOMEBUILT,White,2021,81,26-11-2021,115,Friday
252,Trailer,538,2019,DOMESTIC TRAILER,Silver,2022,3,21-03-2022,109,Monday
253,Trailer - Heavy,623,2019,ROADCHIEF,Silver,2021,2,24-10-2021,104,Sunday
254,Trailer,623,1997,K64SE,Silver,2021,24,04-11-2021,111,Thursday
255,Trailer,623,1997,OLEARY,Silver,2022,25,04-04-2022,108,Monday
256,Boat Trailer,623,2001,LOCAL,Silver,2022,21,15-03-2022,101,Tuesday
257,Trailer,623,2017,CONCEPT,Silver,2021,4,28-10-2021,108,Thursday
258,Trailer,616,2019,DOMESTIC TRAILER,Silver,2022,3,25-03-2022,109,Friday
259,Boat Trailer,549,2019,BOAT TRAILER,Silver,2021,2,29-10-2021,102,Friday
260,Roadbike,636,2005,YZF-R6T,Grey,2022,17,17-02-2022,102,Thursday
261,Trailer,538,2019,TRAILUX TRAILER,Silver,2022,3,31-03-2022,109,Thursday
262,Trailer,623,2016,ELITE 8X4,Silver,2022,6,04-02-2022,114,Friday
263,Trailer,623,2016,UTILITY,Silver,2022,6,22-03-2022,102,Tuesday
264,Trailer - Heavy,623,2016,GT TRAILER,Silver,2021,5,29-10-2021,114,Friday
265,Caravan,630,2016,710,White,2022,6,28-03-2022,103,Monday
266,Trailer,616,2016,8X5 SINGLE,Silver,2022,6,23-03-2022,102,Wednesday
267,Trailer,549,2016,HOME BUILD,Silver,2021,5,07-12-2021,114,Tuesday
268,Trailer,549,2004,TRAILER,Blue,2022,18,20-03-2022,114,Sunday
269,Trailer,623,2016,COMPASS C85,Silver,2021,5,11-12-2021,103,Saturday
270,Trailer - Heavy,514,2016,TRAILER,Silver,2021,5,07-12-2021,102,Tuesday
271,Trailer,514,2016,TRAILER,Silver,2022,6,14-01-2022,114,Friday
272,Trailer - Heavy,623,2016,GT TRAILER,Silver,2021,5,29-10-2021,102,Friday
273,Trailer,549,1960,TRAILER,White,2022,62,01-01-2022,114,Saturday
274,Trailer - Heavy,623,2013,MAINLINE TANKER,Grey,2021,8,08-11-2021,102,Monday
275,Trailer - Heavy,527,2016,TBS,Grey,2021,5,12-10-2021,102,Tuesday
276,Trailer,623,2016,GOUGH ENGINEERING,Silver,2022,6,25-03-2022,103,Friday
277,Trailer - Heavy,514,2016,TRAILER,Silver,2021,5,08-11-2021,102,Monday
278,Trailer,623,2016,COMPASS KH85T,Silver,2022,6,23-02-2022,102,Wednesday
279,Trailer,514,2016,6X4,Grey,2021,5,01-12-2021,102,Wednesday
280,Trailer,623,2016,ELITE 8X4,Silver,2022,6,30-01-2022,114,Sunday
281,Saloon,576,1993,LANTIS,Blue,2022,29,14-02-2022,103,Monday
282,Trailer,623,2016,TUFF,Silver,2021,5,01-11-2021,102,Monday
283,Trailer - Heavy,514,2016,TRAILER,Silver,2021,5,15-11-2021,102,Monday
284,Trailer - Heavy,514,2016,OTHER COMMERCIAL TRA,Silver,2022,6,08-03-2022,104,Tuesday
285,Trailer - Heavy,514,2016,OTHER COMMERCIAL TRA,Silver,2022,6,17-01-2022,103,Monday
286,Boat Trailer,623,2016,AAA375 AAKRON,Silver,2022,6,29-01-2022,102,Saturday
287,Caravan,519,2007,LUNA DELTA,White,2022,15,24-03-2022,109,Thursday
288,Trailer,623,2016,VULCAN,Silver,2021,5,31-10-2021,102,Sunday
289,Trailer,623,2016,TUFF,Silver,2021,5,28-10-2021,104,Thursday
290,Boat Trailer,527,2016,4,Grey,2021,5,22-10-2021,114,Friday
291,Trailer - Heavy,623,2010,FLATDECK,Blue,2021,11,08-11-2021,114,Monday
292,Trailer,514,2016,TRAILER 8X4,Silver,2021,5,25-11-2021,102,Thursday
293,Roadbike,611,2005,GSX 750,Blue,2022,17,26-03-2022,102,Saturday
294,Trailer,514,2019,8X4,Silver,2022,3,16-02-2022,114,Wednesday
295,Boat Trailer,635,1998,JII,Silver,2022,24,05-01-2022,104,Wednesday
296,Boat Trailer,623,2000,HOSKING,Silver,2021,21,26-12-2021,102,Sunday
297,Boat Trailer,623,2019,SPORTLINE 610 HT,Grey,2022,3,30-03-2022,103,Wednesday
298,Roadbike,505,1998,PEGASO,Red,2022,24,05-04-2022,115,Tuesday
299,Moped,636,2007,CV50 JOG,Blue,2021,14,26-10-2021,102,Tuesday
300,Trailer,623,2019,HANSA CHIPPER,Green,2022,3,02-02-2022,103,Wednesday
301,Roadbike,611,2007,GSX600F,Black,2022,15,02-03-2022,101,Wednesday
302,Trailer,562,2020,KEA MX4,Silver,2021,1,02-12-2021,102,Thursday
303,Trailer,514,1985,SINGLE AXLE,Grey,2022,37,05-02-2022,114,Saturday
304,Roadbike,611,2008,GSX,Orange,2022,14,13-03-2022,102,Sunday
305,Boat Trailer,623,2020,AFC JETSKI,Silver,2021,1,15-11-2021,109,Monday
306,Trailer,535,1977,RSKF1F27.9,Red,2021,44,04-11-2021,102,Thursday
307,Boat Trailer,623,2020,ASD JETSKI,Silver,2022,2,04-01-2022,102,Tuesday
308,Caravan,508,2009,PEGEANT S7 LOIRE,White,2021,12,19-12-2021,102,Sunday
309,Boat Trailer,623,2020,JETSKI,Grey,2022,2,02-04-2022,101,Saturday
310,Roadbike,561,1986,ZL 900,Red,2021,35,30-11-2021,101,Tuesday
311,Boat Trailer,623,2020,JETSKI,Silver,2022,2,30-03-2022,103,Wednesday
312,Trailer,623,2020,BRI-INN,Silver,2022,2,07-03-2022,114,Monday
313,Trailer,549,1989,LOCAL,Grey,2022,33,22-03-2022,103,Tuesday
314,Boat Trailer,623,2019,JEYSKI ACTION LAB,Grey,2022,3,20-01-2022,102,Thursday
315,Boat Trailer,527,2020,AUCKLAND,Silver,2021,1,08-10-2021,102,Friday
